No.Station,troncon_id
010101,GASP01982
010801,GASP01641
010802,GASP01646
010901,GASP01528
010902,GASP01534
010903,GASP01534
011001,GASP00726
011002,GASP00714
011003,GASP00723
011204,GASP01440
011508,GASP00990
011509,GASP00941
020301,GASP02049
020401,GASP02165
020404,GASP02179
020502,GASP00038
020601,GASP02292
020602,GASP02294
020701,GASP02406
020802,GASP02420
021403,GASP02724
021405,GASP02667
021407,GASP02669
021502,GASP02747
021601,GASP02850
021602,GASP02848
021702,GASP03025
021915,GASP03127
021916,GASP03139
022003,GASP03334
022301,GASP03654
022504,GASP03812
022507,GASP03811
022513,GASP03802
022601,SLSO02878
022701,SLSO02791
022702,SLSO02792
022703,SLSO02794
022704,SLSO02792
023002,SLSO02552
023004,SLSO02542
023005,SLSO02550
023006,SLSO02553
023007,SLSO02544
023101,SLSO02598
023106,SLSO02599
023301,SLSO02389
023303,SLSO02388
023401,SLSO00585
023402,SLSO00025
023403,SLSO00306
023421,SLSO00105
023422,SLSO00160
023425,SLSO00205
023426,SLSO00141
023428,SLSO00460
023429,SLSO00246
023432,SLSO00633
023433,SLSO00498
023436,SLSO00222
023437,SLSO00395
023438,SLSO00055
023440,SLSO00280
023443,SLSO00635
023444,SLSO00064
023445,SLSO00635
023501,SLSO00666
023701,SLSO00710
023702,SLSO00708
023902,SLSO00740
024001,SLSO00813
024003,SLSO00829
024004,SLSO00887
024007,SLSO00786
024010,SLSO00880
024012,SLSO00820
024013,SLSO00850
024014,SLSO00796
024015,SLSO00889
024016,SLSO00828
02E901,GASP03897
030101,SLSO01106
030103,SLSO00958
030106,SLSO00969
030107,SLSO01185
030108,SLSO01181
030109,SLSO01149
030110,SLSO00970
030215,SLSO02154
030219,SLSO01636
030232,SLSO02332
030234,SLSO01945
030238,SLSO01974
030239,SLSO02020
030242,SLSO01972
030246,SLSO02247
030253,SLSO01955
030260,SLSO02104
030262,SLSO01214
030263,SLSO02305
030273,SLSO01325
030274,SLSO01771
030275,SLSO01853
030282,SLSO01659
030299,SLSO01214
030304,MONT00051
030305,MONT00475
030314,MONT00413
030315,MONT00087
030316,MONT00026
030318,MONT00102
030322,MONT00470
030327,MONT00498
030328,MONT00480
030329,MONT00178
030333,MONT00092
030335,MONT00248
030337,MONT00395
030340,MONT00230
030343,MONT00252
